aluguel_id,cliente_id,hospedagem_id,data_inicio,data_fim,preco_total
1,1,1,2022-08-12,2022-08-15,480.0
10,10,2,2022-11-04,2022-11-07,597.0
100,100,3,2022-11-22,2022-11-25,1404.0
1000,1000,9,2023-06-16,2023-06-21,995.0
10000,10000,66,2022-05-15,2022-05-17,1438.0
1001,1001,6,2023-02-01,2023-02-08,4739.0
1002,1002,11,2024-01-23,2024-01-28,2625.0
1003,1003,9,2022-10-12,2022-10-19,3948.0
1004,1004,11,2023-07-30,2023-08-04,1800.0
1005,1005,9,2023-02-13,2023-02-15,1752.0
1006,1006,9,2022-12-24,2022-12-31,3549.0
1007,1007,5,2022-12-04,2022-12-08,1140.0
1008,1008,2,2022-03-31,2022-04-03,1176.0
1009,1009,9,2023-08-26,2023-08-31,4735.0
101,101,1,2023-03-01,2023-03-05,2620.0
1010,1010,3,2023-07-13,2023-07-14,176.0
1011,1011,3,2023-04-24,2023-04-27,1740.0
1012,1012,9,2023-11-15,2023-11-19,2316.0
1013,1013,7,2022-05-10,2022-05-12,1686.0
1014,1014,8,2022-04-25,2022-04-26,888.0
1015,1015,5,2022-03-19,2022-03-25,5838.0
1016,1016,6,2022-09-24,2022-09-25,420.0
1017,1017,11,2023-06-17,2023-06-23,4662.0
1018,1018,6,2023-09-08,2023-09-10,530.0
1019,1019,9,2023-05-07,2023-05-12,3790.0
102,102,1,2023-12-31,2024-01-01,640.0
1020,1020,12,2022-10-22,2022-10-27,1690.0
1021,1021,7,2022-11-19,2022-11-26,4438.0
1022,1022,11,2023-05-14,2023-05-19,2725.0
1023,1023,6,2023-04-17,2023-04-24,1120.0
1024,1024,2,2023-09-05,2023-09-06,140.0
1025,1025,2,2023-04-16,2023-04-18,918.0
1026,1026,2,2022-09-20,2022-09-21,848.0
1027,1027,2,2022-07-21,2022-07-25,1128.0
1028,1028,13,2023-07-14,2023-07-15,820.0
1029,1029,1,2022-09-26,2022-09-29,2973.0
103,103,1,2022-11-11,2022-11-14,1782.0
1030,1030,11,2023-12-23,2023-12-29,5784.0
1031,1031,4,2022-06-27,2022-06-30,1815.0
1032,1032,5,2022-04-03,2022-04-04,678.0
1033,1033,6,2022-04-04,2022-04-06,1384.0
1034,1034,9,2023-01-13,2023-01-18,1900.0
1035,1035,10,2023-01-03,2023-01-08,2295.0
1036,1036,10,2023-05-06,2023-05-09,2601.0
1037,1037,8,2023-11-10,2023-11-17,2429.0
1038,1038,9,2023-02-12,2023-02-19,1288.0
1039,1039,9,2022-04-14,2022-04-21,5068.0
104,104,1,2023-05-14,2023-05-16,1192.0
1040,1040,8,2023-09-06,2023-09-12,1224.0
1041,1041,9,2022-12-18,2022-12-21,351.0
1042,1042,10,2022-12-17,2022-12-18,114.0
1043,1043,11,2022-09-20,2022-09-23,1338.0
1044,1044,13,2024-01-05,2024-01-06,692.0
1045,1045,7,2023-10-04,2023-10-05,160.0
1046,1046,4,2022-05-17,2022-05-19,1350.0
1047,1047,5,2022-07-17,2022-07-24,2317.0
1048,1048,13,2023-06-18,2023-06-23,700.0
