avaliacao_id,cliente_id,hospedagem_id,nota,comentario
1,1,1,1,"Maravilhosa atendimento.
"
10,10,2,1,"Maravilhosa infraestrutura.
"
100,100,3,1,"Maravilhosa serviços.
"
1000,1000,9,5,"Ótima infraestrutura.
"
10000,10000,66,5,"Excelente infraestrutura.
"
1001,1001,6,3,"Excelente infraestrutura.
"
1002,1002,11,5,"Confortável atendimento.
"
1003,1003,9,5,"Excelente limpeza.
"
1004,1004,11,3,"Excelente infraestrutura.
"
1005,1005,9,5,"Incrível localização.
"
1006,1006,9,1,"Agradável localização.
"
1007,1007,5,1,"Excelente limpeza.
"
1008,1008,2,5,"Incrível limpeza.
"
1009,1009,9,3,"Excelente localização.
"
101,101,1,3,"Ótima serviços.
"
1010,1010,3,3,"Maravilhosa limpeza.
"
1011,1011,3,4,"Incrível localização.
"
1012,1012,9,3,"Maravilhosa atendimento.
"
1013,1013,7,3,"Maravilhosa atendimento.
"
1014,1014,8,5,"Incrível limpeza.
"
1015,1015,5,3,"Agradável limpeza.
"
1016,1016,6,3,"Confortável localização.
"
1017,1017,11,4,"Confortável atendimento.
"
1018,1018,6,1,"Confortável atendimento.
"
1019,1019,9,3,"Excelente serviços.
"
102,102,1,1,"Maravilhosa infraestrutura.
"
1020,1020,12,1,"Ótima atendimento.
"
1021,1021,7,2,"Excelente localização.
"
1022,1022,11,5,"Confortável localização.
"
1023,1023,6,2,"Excelente serviços.
"
1024,1024,2,5,"Maravilhosa atendimento.
"
1025,1025,2,4,"Ótima limpeza.
"
1026,1026,2,5,"Agradável infraestrutura.
"
1027,1027,2,4,"Agradável serviços.
"
1028,1028,13,5,"Agradável limpeza.
"
1029,1029,1,2,"Ótima localização.
"
103,103,1,4,"Ótima atendimento.
"
1030,1030,11,5,"Ótima infraestrutura.
"
1031,1031,4,4,"Excelente serviços.
"
1032,1032,5,4,"Excelente limpeza.
"
1033,1033,6,1,"Excelente localização.
"
1034,1034,9,1,"Ótima serviços.
"
1035,1035,10,1,"Ótima infraestrutura.
"
1036,1036,10,3,"Incrível infraestrutura.
"
1037,1037,8,1,"Excelente serviços.
"
